spp_id,gen,vul,can,net_id,net_type,community,stage,S4_consumer,S4_resource,S5_consumer,S5_resource
15,8,0,false,1,metaweb,turkiye,burnin,184,8,0,28
11,8,0,false,1,metaweb,turkiye,burnin,192,0,0,28
8,0,2,true,1,down_niche_empiricalbm,turkiye,burnin,0,0,0,0
7,0,1,false,1,down_niche_empiricalbm,turkiye,burnin,2,0,3,0
2,3,1,false,1,down_niche_empiricalbm,turkiye,burnin,1,0,6,0
9,0,2,false,1,down_niche_empiricalbm,turkiye,burnin,0,0,2,1
6,0,1,false,1,down_niche_empiricalbm,turkiye,burnin,1,0,3,3
1,2,1,false,1,down_niche_empiricalbm,turkiye,burnin,0,0,1,2
10,4,0,false,1,down_niche_empiricalbm,turkiye,burnin,0,0,0,2
4,0,1,false,1,down_niche_empiricalbm,turkiye,burnin,0,1,0,5
3,0,2,false,1,down_niche_empiricalbm,turkiye,burnin,0,1,0,5
5,0,2,false,1,down_niche_empiricalbm,turkiye,burnin,1,2,0,6
11,4,0,false,1,down_niche_empiricalbm,turkiye,burnin,3,0,0,6
17,0,3,false,1,niche,turkiye,burnin,2,0,2,0
8,0,2,false,1,niche,turkiye,burnin,0,0,0,0
7,0,2,true,1,niche,turkiye,burnin,0,0,0,0
2,0,1,false,1,niche,turkiye,burnin,0,2,1,0
12,2,0,false,1,niche,turkiye,burnin,1,0,0,0
18,0,1,false,1,niche,turkiye,burnin,0,1,0,0
13,1,0,false,1,niche,turkiye,burnin,1,0,0,0
9,1,2,false,1,niche,turkiye,burnin,1,0,0,3
6,1,1,false,1,niche,turkiye,burnin,1,0,0,2
1,3,1,false,1,niche,turkiye,burnin,2,0,0,1
14,2,1,false,1,niche,turkiye,burnin,0,0,0,0
16,1,4,false,1,niche,turkiye,burnin,2,0,0,0
10,1,2,false,1,niche,turkiye,burnin,2,1,0,0
4,2,1,false,1,niche,turkiye,burnin,2,3,1,0
3,6,1,false,1,niche,turkiye,burnin,0,4,1,0
5,1,1,false,1,niche,turkiye,burnin,5,0,0,2
15,2,1,false,1,niche,turkiye,burnin,3,0,0,2
11,1,0,false,1,niche,turkiye,burnin,0,0,0,0
17,0,15,false,1,down_niche,turkiye,burnin,0,0,6,0
20,0,18,false,1,down_niche,turkiye,burnin,60,0,6,0
29,4,0,false,1,down_niche,turkiye,burnin,73,4,15,0
7,5,0,false,1,down_niche,turkiye,burnin,67,10,15,0
2,4,0,false,1,down_niche,turkiye,burnin,64,11,10,0
23,0,17,false,1,down_niche,turkiye,burnin,41,9,3,0
12,6,0,false,1,down_niche,turkiye,burnin,58,17,10,0
18,0,18,false,1,down_niche,turkiye,burnin,18,6,3,0
13,4,0,false,1,down_niche,turkiye,burnin,57,23,10,3
9,5,1,false,1,down_niche,turkiye,burnin,62,34,21,0
24,0,6,false,1,down_niche,turkiye,burnin,35,26,6,3
10,7,0,false,1,down_niche,turkiye,burnin,47,38,15,0
22,0,4,false,1,down_niche,turkiye,burnin,28,31,6,0
26,5,0,false,1,down_niche,turkiye,burnin,30,33,6,3
3,6,0,false,1,down_niche,turkiye,burnin,35,56,15,3
5,5,0,false,1,down_niche,turkiye,burnin,27,53,10,0
30,6,0,false,1,down_niche,turkiye,burnin,61,44,15,48
31,3,0,false,1,down_niche,turkiye,burnin,76,77,20,47
28,4,0,false,1,down_niche,turkiye,burnin,76,60,9,57
8,3,0,false,1,down_niche,turkiye,burnin,88,65,8,63
25,4,0,false,1,down_niche,turkiye,burnin,39,27,4,44
27,4,0,false,1,down_niche,turkiye,burnin,3,3,1,15
21,0,12,false,1,down_niche,turkiye,burnin,70,66,1,64
14,4,1,false,1,down_niche,turkiye,burnin,6,9,0,22
6,3,0,false,1,down_niche,turkiye,burnin,44,17,0,6
1,4,0,false,1,down_niche,turkiye,burnin,43,13,0,10
19,0,17,false,1,down_niche,turkiye,burnin,44,11,0,6
32,4,0,false,1,down_niche,turkiye,burnin,51,12,0,6
16,5,0,false,1,down_niche,turkiye,burnin,55,8,0,6
4,6,0,false,1,down_niche,turkiye,burnin,85,6,0,15
15,6,1,false,1,down_niche,turkiye,burnin,31,1,0,3
11,4,1,false,1,down_niche,turkiye,burnin,66,0,0,6
9,0,2,false,1,atn_empiricalbm,turkiye,burnin,10,0,1,0
6,2,0,false,1,atn_empiricalbm,turkiye,burnin,9,2,3,0
1,2,0,false,1,atn_empiricalbm,turkiye,burnin,6,4,1,0
8,0,6,false,1,atn_empiricalbm,turkiye,burnin,4,6,1,0
7,0,6,false,1,atn_empiricalbm,turkiye,burnin,2,9,3,0
2,3,0,false,1,atn_empiricalbm,turkiye,burnin,0,10,1,0
4,2,0,false,1,atn_empiricalbm,turkiye,burnin,15,0,0,8
3,2,0,false,1,atn_empiricalbm,turkiye,burnin,15,0,0,8
5,3,0,false,1,atn_empiricalbm,turkiye,burnin,1,0,0,4
9,8,0,false,1,metaweb_empiricalbm,turkiye,burnin,0,0,7,0
6,0,1,false,1,metaweb_empiricalbm,turkiye,burnin,0,0,6,1
1,0,1,false,1,metaweb_empiricalbm,turkiye,burnin,0,0,5,2
8,0,1,false,1,metaweb_empiricalbm,turkiye,burnin,0,0,4,3
7,0,1,false,1,metaweb_empiricalbm,turkiye,burnin,0,0,3,4
2,0,1,false,1,metaweb_empiricalbm,turkiye,burnin,0,0,2,5
4,0,1,false,1,metaweb_empiricalbm,turkiye,burnin,0,0,1,6
3,0,1,false,1,metaweb_empiricalbm,turkiye,burnin,0,0,0,7
5,0,1,false,1,metaweb_empiricalbm,turkiye,burnin,0,0,0,28
17,0,10,false,1,atn,turkiye,burnin,37,0,36,0
20,0,3,false,1,atn,turkiye,burnin,28,9,36,0
7,6,0,false,1,atn,turkiye,burnin,40,8,15,0
2,9,0,false,1,atn,turkiye,burnin,46,8,15,0
23,2,11,false,1,atn,turkiye,burnin,40,14,15,0
12,8,0,false,1,atn,turkiye,burnin,35,12,22,16
18,0,6,false,1,atn,turkiye,burnin,24,24,15,0
13,0,3,false,1,atn,turkiye,burnin,27,20,21,17
9,6,0,false,1,atn,turkiye,burnin,16,32,15,0
24,4,10,false,1,atn,turkiye,burnin,18,36,15,0
10,6,0,false,1,atn,turkiye,burnin,11,26,6,16
22,0,9,false,1,atn,turkiye,burnin,6,30,15,13
26,6,3,false,1,atn,turkiye,burnin,3,0,9,0
3,6,0,false,1,atn,turkiye,burnin,4,6,11,12
