net_id,net_type,stage,S4_C1,S4_R1,S4_C2
1,atn_nestedbm,creation,7,12,38
1,atn_nestedbm,creation,7,12,39
1,atn_nestedbm,creation,7,13,30
1,atn_nestedbm,creation,7,13,38
1,atn_nestedbm,creation,7,14,30
1,atn_nestedbm,creation,7,14,38
1,atn_nestedbm,creation,7,15,18
1,atn_nestedbm,creation,7,15,19
1,atn_nestedbm,creation,7,15,23
1,atn_nestedbm,creation,7,15,24
1,atn_nestedbm,creation,7,15,25
1,atn_nestedbm,creation,7,16,30
1,atn_nestedbm,creation,7,16,31
1,atn_nestedbm,creation,7,16,38
1,atn_nestedbm,creation,7,16,39
1,atn_nestedbm,creation,7,18,30
1,atn_nestedbm,creation,7,18,31
1,atn_nestedbm,creation,7,18,38
1,atn_nestedbm,creation,7,18,39
1,atn_nestedbm,creation,7,19,30
1,atn_nestedbm,creation,7,19,31
1,atn_nestedbm,creation,7,19,38
1,atn_nestedbm,creation,7,19,39
1,atn_nestedbm,creation,7,20,30
1,atn_nestedbm,creation,7,20,31
1,atn_nestedbm,creation,7,20,38
1,atn_nestedbm,creation,7,20,39
1,atn_nestedbm,creation,7,21,30
1,atn_nestedbm,creation,7,21,38
1,atn_nestedbm,creation,7,23,30
1,atn_nestedbm,creation,7,23,31
1,atn_nestedbm,creation,7,23,38
1,atn_nestedbm,creation,7,23,39
1,atn_nestedbm,creation,7,24,30
1,atn_nestedbm,creation,7,24,31
1,atn_nestedbm,creation,7,24,38
1,atn_nestedbm,creation,7,24,39
1,atn_nestedbm,creation,7,25,30
1,atn_nestedbm,creation,7,25,31
1,atn_nestedbm,creation,7,25,38
1,atn_nestedbm,creation,7,25,39
1,atn_nestedbm,creation,7,30,41
1,atn_nestedbm,creation,7,38,41
1,atn_nestedbm,creation,8,9,15
1,atn_nestedbm,creation,8,9,29
1,atn_nestedbm,creation,8,9,30
1,atn_nestedbm,creation,8,9,31
1,atn_nestedbm,creation,8,9,37
1,atn_nestedbm,creation,8,9,38
1,atn_nestedbm,creation,8,9,39
1,atn_nestedbm,creation,8,10,15
1,atn_nestedbm,creation,8,10,30
1,atn_nestedbm,creation,8,10,31
1,atn_nestedbm,creation,8,10,38
1,atn_nestedbm,creation,8,10,39
1,atn_nestedbm,creation,8,11,29
1,atn_nestedbm,creation,8,11,30
1,atn_nestedbm,creation,8,11,37
1,atn_nestedbm,creation,8,11,38
1,atn_nestedbm,creation,8,12,29
1,atn_nestedbm,creation,8,12,30
1,atn_nestedbm,creation,8,12,31
1,atn_nestedbm,creation,8,12,37
1,atn_nestedbm,creation,8,12,38
1,atn_nestedbm,creation,8,12,39
1,atn_nestedbm,creation,8,13,29
1,atn_nestedbm,creation,8,13,30
1,atn_nestedbm,creation,8,13,37
1,atn_nestedbm,creation,8,13,38
1,atn_nestedbm,creation,8,14,29
1,atn_nestedbm,creation,8,14,30
1,atn_nestedbm,creation,8,14,37
1,atn_nestedbm,creation,8,14,38
1,atn_nestedbm,creation,8,15,18
1,atn_nestedbm,creation,8,15,19
1,atn_nestedbm,creation,8,15,23
1,atn_nestedbm,creation,8,15,24
1,atn_nestedbm,creation,8,15,25
1,atn_nestedbm,creation,8,16,29
1,atn_nestedbm,creation,8,16,30
1,atn_nestedbm,creation,8,16,31
1,atn_nestedbm,creation,8,16,37
1,atn_nestedbm,creation,8,16,38
1,atn_nestedbm,creation,8,16,39
1,atn_nestedbm,creation,8,17,29
1,atn_nestedbm,creation,8,17,37
1,atn_nestedbm,creation,8,18,30
1,atn_nestedbm,creation,8,18,31
1,atn_nestedbm,creation,8,18,38
1,atn_nestedbm,creation,8,18,39
1,atn_nestedbm,creation,8,19,30
1,atn_nestedbm,creation,8,19,31
1,atn_nestedbm,creation,8,19,38
1,atn_nestedbm,creation,8,19,39
1,atn_nestedbm,creation,8,20,29
1,atn_nestedbm,creation,8,20,30
1,atn_nestedbm,creation,8,20,31
1,atn_nestedbm,creation,8,20,37
1,atn_nestedbm,creation,8,20,38
1,atn_nestedbm,creation,8,20,39
1,atn_nestedbm,creation,8,21,29
1,atn_nestedbm,creation,8,21,30
1,atn_nestedbm,creation,8,21,37
1,atn_nestedbm,creation,8,21,38
1,atn_nestedbm,creation,8,22,29
1,atn_nestedbm,creation,8,22,37
1,atn_nestedbm,creation,8,23,30
1,atn_nestedbm,creation,8,23,31
1,atn_nestedbm,creation,8,23,38
1,atn_nestedbm,creation,8,23,39
1,atn_nestedbm,creation,8,24,30
1,atn_nestedbm,creation,8,24,31
1,atn_nestedbm,creation,8,24,38
1,atn_nestedbm,creation,8,24,39
1,atn_nestedbm,creation,8,25,29
1,atn_nestedbm,creation,8,25,30
1,atn_nestedbm,creation,8,25,31
1,atn_nestedbm,creation,8,25,37
1,atn_nestedbm,creation,8,25,38
1,atn_nestedbm,creation,8,25,39
1,atn_nestedbm,creation,8,29,40
1,atn_nestedbm,creation,8,29,41
1,atn_nestedbm,creation,8,30,41
1,atn_nestedbm,creation,8,37,40
1,atn_nestedbm,creation,8,37,41
1,atn_nestedbm,creation,8,38,41
1,atn_nestedbm,creation,9,10,15
1,atn_nestedbm,creation,9,10,30
1,atn_nestedbm,creation,9,10,31
1,atn_nestedbm,creation,9,10,38
1,atn_nestedbm,creation,9,10,39
1,atn_nestedbm,creation,9,11,29
1,atn_nestedbm,creation,9,11,30
1,atn_nestedbm,creation,9,11,37
1,atn_nestedbm,creation,9,11,38
1,atn_nestedbm,creation,9,12,29
1,atn_nestedbm,creation,9,12,30
1,atn_nestedbm,creation,9,12,31
1,atn_nestedbm,creation,9,12,37
1,atn_nestedbm,creation,9,12,38
1,atn_nestedbm,creation,9,12,39
1,atn_nestedbm,creation,9,13,29
1,atn_nestedbm,creation,9,13,30
1,atn_nestedbm,creation,9,13,37
1,atn_nestedbm,creation,9,13,38
1,atn_nestedbm,creation,9,14,29
1,atn_nestedbm,creation,9,14,30
1,atn_nestedbm,creation,9,14,37
1,atn_nestedbm,creation,9,14,38
1,atn_nestedbm,creation,9,15,18
1,atn_nestedbm,creation,9,15,19
1,atn_nestedbm,creation,9,15,23
1,atn_nestedbm,creation,9,15,24
1,atn_nestedbm,creation,9,15,25
1,atn_nestedbm,creation,9,16,29
1,atn_nestedbm,creation,9,16,30
1,atn_nestedbm,creation,9,16,31
1,atn_nestedbm,creation,9,16,37
1,atn_nestedbm,creation,9,16,38
1,atn_nestedbm,creation,9,16,39
1,atn_nestedbm,creation,9,17,29
1,atn_nestedbm,creation,9,17,37
1,atn_nestedbm,creation,9,18,30
1,atn_nestedbm,creation,9,18,31
1,atn_nestedbm,creation,9,18,38
1,atn_nestedbm,creation,9,18,39
1,atn_nestedbm,creation,9,19,30
1,atn_nestedbm,creation,9,19,31
1,atn_nestedbm,creation,9,19,38
1,atn_nestedbm,creation,9,19,39
